unique_id,agency_name
435,Laurel Police Department
21438,Baltimore County Police Department
439,East Baton Rouge Parish Sheriff's Office
440,Union City Police Department
23114,West Virginia State Police
444,Los Angeles County Sheriff's Department
443,Fresno Police Department
442,Montgomery Police Department
441,St. Louis County Police Department
20087,Oak Creek Police Department
445,Los Angeles Police Department
446,North Las Vegas Police Department
447,San Bernardino County Sheriff's Office
449,Los Angeles Police Department
20806,"Menominee Police Department, Michigan State Police"
448,Hawaii Police Department
22255,Fairfax County Police Department
30205,Los Angeles County Sheriff's Department
451,"Goodman Police Department, Lexington Police Department"
450,"Omaha Police Department, Sarpy County Sheriff's Office"
20807,Detroit Police Department
452,El Segundo Police Department
22256,Roanoke Police Department
453,California Highway Patrol
457,Dakota County Sheriff's Office
455,"Miami-Dade Police Department, North Bay Village Police Department"
454,Sarasota Police Department
456,Fresno Police Department
459,Clackamas County Sheriff's Office
458,U.S. Border Patrol
461,Modesto Police Department
462,Richmond Police Department
463,"San Diego Police Department, La Mesa Police Department"
460,Danville Police Department
464,Los Angeles Police Department
465,Los Angeles Police Department
468,Aiken County Sheriff's Office
469,Columbia County Sheriff's Office
466,Rogers Police Department
467,Henderson County Sheriff's Office
470,Chicago Police Department
471,Pleasanton Police Department
19367,Philadelphia Police Department
472,La Feria Police Department
19368,Pennsylvania State Police
492,Ferguson Police Department
474,Inglewood Police Department
473,City of New York Police Department
475,Modesto Police Department
477,"Amarillo Police Department, Amarillo College Police Department"
481,Whittier Police Department
478,Tampa Police Department
479,Tampa Police Department
480,Tampa Police Department
476,St. Louis Metropolitan Police Department
483,Riverdale Police Department
482,Savannah-Chatham Metropolitan Police Department
19369,Pennsylvania State Police
485,San Diego Police Department
484,Louisiana State Police
487,Los Angeles Police Department
20808,Battle Creek Police Department
486,Independence Police Department
490,Sacramento County Sheriff's Office
488,Little Rock Police Department
489,Grand Coteau Police Department
493,Lubbock County Sheriff's Office
494,Sacramento Police Department
491,Bellevue Police Department
497,Tucson Police Department
496,Miami Police Department
495,St. Louis Metropolitan Police Department
500,Suffolk Police Department
501,Irving Police Department
499,Pima County Sheriff's Department
498,St. Louis County Sheriff's Office
504,Houston Police Department
502,Baton Rouge Police Department
503,Baton Rouge Police Department
20809,Adrian Township Police Department
505,Ventura Police Department
509,Alaska State Troopers
507,Opelousas Police Department
508,Cherokee Tribal Police Department
506,Rio Rancho Department of Public Safety
510,Mesa Police Department
511,Portland Police Bureau
23115,Marietta Police Department
19370,Pittsburgh Bureau of Police
513,Honolulu Police Department
512,"Georgia Bureau of Investigation, U.S. Federal Bureau of Investigation"
514,Shreveport Police Department
515,Lebanon Police Department
21862,"Terre Haute Police Department, Indiana State Police, Vigo County Sheriff's Office"
516,Seattle Police Department
517,Honolulu Police Department
522,Champaign Police Department
519,St. Louis Metropolitan Police Department
518,Columbus Division of Police
520,Sapulpa Police Department
521,Sapulpa Police Department
21863,Berrien County Sheriff's Office
20086,Milwaukee Police Department
523,Stanislaus County Sheriff's Office
524,Corning Police Department
525,Portland Police Bureau
20811,Warren Police Department
20812,Warren Police Department
526,Broward County Sheriff's Office
527,Fort Lauderdale Police Department
20813,Detroit Police Department
528,Escambia County Sheriff's Office
530,Charlotte-Mecklenburg Police Department
529,Marshall County Sheriff's Office
21864,Starke County Sheriff's Office
532,Navajo Nation Police
21865,Gary Police Department
531,St. Louis County Sheriff's Office
21866,Gary Police Department
533,Euclid Police Department
534,St. Joseph Police Department
536,Cleveland Police Department
535,Oklahoma City Police Department
19344,Jersey City Police Department
537,Cripple Creek Police Department
539,City of New York Police Department
538,Ohio State Highway Patrol
540,North Charleston Police Department
21374,New Jersey State Police
541,Chicago Police Department
19345,Mount Olive Police Department
19371,Philadelphia Police Department
19372,Philadelphia Police Department
544,Harris County Sheriff's Office
547,City of New York Police Department
548,California Highway Patrol
542,Akron Police Department
546,Vermont State Police
545,Monroe Police Department
543,Springfield Police Department
549,Los Angeles Police Department
22596,Metropolitan Nashville Police Department
550,Chicago Police Department
552,Montgomery Police Department
551,Santa Fe County Sheriff's Office
20814,Saginaw Police Department
553,Ste. Genevieve County Sheriff's Office
20084,Geneva Township Police Department
20085,Milwaukee Police Department
21375,Union County Police Department
554,Nebraska State Patrol
556,Los Angeles Police Department
557,North Carolina State Highway Patrol
558,North Carolina State Highway Patrol
559,California Highway Patrol
555,"Missouri State Highway Patrol, Maries County Sheriff's Office"
561,Ward County Sheriff's Office
560,Ward County Sheriff's Office
563,Fairbanks Police Department
562,Chicago Police Department
565,Nye County Sheriff's Office
564,Nye County Sheriff's Office
566,Mountain View Police Department
567,Oklahoma Highway Patrol
568,Minneapolis Police Department
569,San Diego County Sheriff's Office
22257,Roanoke Police Department
570,San Diego County Sheriff's Office
21376,Port Authority of New York and New Jersey
572,Chicago Police Department
573,Los Angeles County Sheriff's Department
574,San Joaquin County Sheriff's Office
571,Fort Valley Police Department
575,La Porte Police Department
19373,Franklin Police Department
610,Boston Police Department
576,New Orleans Police Department
577,Cincinnati Police Department
21377,"Clinton Township Police Department, Raritan Township Police Department"
578,Cincinnati Police Department
21868,Indiana State Police
579,San Jose Police Department
581,Kent Police Department
582,Baytown Police Department
22258,Portsmouth Police Department
583,Savannah-Chatham Metropolitan Police Department
584,"Pooler Police Department, Bloomingdale Police Department"
585,"Pooler Police Department, Bloomingdale Police Department"
21869,Evansville Police Department
20815,Flint Police Department
587,Santa Ana Police Department
588,U.S. Customs and Border Protection
586,Birmingham Police Department
589,Sioux City Police Department
592,San Diego County Sheriff's Office
591,Tishomingo Police Department
590,East St. Louis Police Department
593,Pinellas County Sheriff's Office
594,Edina Police Department
19374,Owensboro Police Department
595,Montgomery County Sheriff's Office
597,Los Angeles County Sheriff's Department
596,West Shore Regional Police Department
598,Alabama Department of Conservation and Natural Resources
600,"Los Angeles Police Department, U.S. Marshals Service"
599,Stephenson County Sheriff's Office
602,Minneapolis Police Department
601,Oklahoma City Police Department
605,"California Highway Patrol, Daly City Police Department"
604,"Tallulah Police Department, Madison Parish Sheriff's Office"
603,Ankeny Police Department
19426,York City Police Department
607,Contra Costa County Sheriff's Office
606,Wayne Police Department
609,Garland Police Department
608,"East Peoria Police Department, Peoria Police Department,"
611,Maryland Transportation Authority Police
612,Little Rock Police Department
614,Omaha Police Department
615,Syracuse Police Department
613,Belleville Police Department
617,Hayward Police Department
616,Oklahoma City Police Department
618,Charlotte-Mecklenburg Police Department
619,Salt Lake City Police Department
620,Fort Lee Police Department
621,Modesto Police Department
622,California Highway Patrol
22259,Rockbridge County Sheriff's Office
623,Ontario Police Department
624,Los Angeles Police Department
21870,Saline County Sheriff's Office
21871,Saline County Sheriff's Office
625,Chicago Police Department
626,Sayre Police Department
20083,Bradley County Sheriff's Office
20816,Detroit Police Department
627,Oklahoma City Police Department
628,Chattanooga Police Department
30206,Los Angeles County Sheriff's Department
630,Los Angeles Police Department
629,DeKalb County Sheriff's Office
632,La Habra Police Department
631,Altus Police Department
23116,West Virginia State Police
633,"U.S. Federal Bureau of Investigation, Queen Anne's County Sheriff's Office"
634,Portland Police Bureau
22595,Metropolitan Nashville Police Department
635,San Jose Police Department
637,Redwood City Police Department
636,"Benton County Sheriff's Office, U.S. Drug Enforcement Administration"
638,Baltimore County Police Department
639,Oklahoma City Police Department
19346,South River Police Department
640,Columbus Division of Police
20817,"Michigan State Police, Washtenaw County Sheriff's Office"
641,Kansas City Police Department
643,Tampa Police Department
642,Union Gap Police Department
644,Columbus Division of Police
645,City of New York Police Department
646,City of New York Police Department
647,Corona Police Department
648,Boston Police Department
649,Paris Police Department
650,Ohio State Highway Patrol
652,Riverside County Sheriff's Department
651,Kansas City Police Department
655,Ketchikan Correctional Facility
653,Harris County Sheriff's Office
654,University of Illinois Police Department
659,King County Sheriff's Office
660,King County Sheriff's Office
658,Salt Lake City Police Department
656,Belton Police Department
657,Bossier City Police Department
20818,Detroit Police Department
662,Tucson Police Department
661,Jerome County Sheriff's Office
663,Cleveland Police Department
665,Rochester Police Department
664,Harrison County Sheriff's Office
19459,Lexington Police Department
22698,Memphis Police Department
666,Barberton Police Department
20819,Battle Creek Police Department
22697,Washington County Sheriff's Office
667,Lake Oswego Police Department
669,Louisville Metro Police Department
670,Alaska State Troopers
668,Bethany Police Department
22696,Knox County Sheriff's Office
671,Oxnard Police Department
22261,Norfolk Police Department
674,Oakland Police Department
672,Citronelle Police Department
673,Citronelle Police Department
20104,Oakland Police Department
676,"Anniston Police Department, Calhoun County Sheriff's Office"
677,Orange Police Department
675,"U.S. Bureau of Alcohol Tobacco Firearms and Explosives, Conway Police Department, Faulkner County Sheriff's Office"
678,Honolulu Police Department
679,Honolulu Police Department
680,Seattle Police Department
19431,Philadelphia Police Department
681,Dayton Police Department
682,Albemarle County Police Department
686,Pomona Police Department
685,City of New York Police Department
684,St. Louis Metropolitan Police Department
683,Vernon County Sheriff's Office
20820,Dearborn Police Department
687,Limestone County Sheriff's Office
688,Las Vegas Metropolitan Police Department
690,Oxnard Police Department
21447,Paterson Police Department
689,Taney County Sheriff's Office
22262,Virginia Department of Game and Inland Fisheries
691,Mauldin Police Department
19423,"Bristol Township Police Department, Bensalem Township Police Department"
692,Clay County Sheriff's Office
694,Ventura County Sheriff's Office
693,San Rafael Police Department
696,Los Angeles County Sheriff's Department
697,"San Bernardino County Sheriff's Office, Mohave County Sheriff's Office, Fort Mohave Tribal Police Department"
695,"El Paso County Sheriff's Office, Teller County Sheriff's Office, U.S. Federal Bureau of Investigation, U.S. Marshals Service, Colorado State Patrol, U.S. Bureau of Alcohol Tobacco Firearms and Explosives"
698,Bolivar Police Department
19429,"Ligonier Township Police Department, Pennsylvania State Police"
700,Albuquerque Police Department
699,Jennings Police Department
704,San Joaquin County Sheriff's Office
